threshold,n_flagged,pct_flagged,precision,recall,tier
0.05,1769,0.25149274950241685,0.25551158846806105,0.8709055876685935,
0.1,901,0.128092123969292,0.4239733629300777,0.7360308285163777,Tầng 1 — sàng lọc rộng
0.15,662,0.09411430196189935,0.5287009063444109,0.674373795761079,
0.2,537,0.07634347455217515,0.6238361266294227,0.6454720616570327,
0.25,475,0.06752914415695195,0.6736842105263158,0.6165703275529865,
0.3,428,0.06084731305089565,0.719626168224299,0.5934489402697495,
0.4,361,0.05132214955928348,0.8005540166204986,0.5568400770712909,Tầng 2 — can thiệp sâu
0.5,311,0.0442138185953938,0.8360128617363344,0.5009633911368016,
