outer_fold,test_AUC,test_AP,inner_best_AUC
0,0.8474597021016119,0.5383923019758128,0.8422027385663972
1,0.848151170962842,0.532287694187744,0.8492382649218061
2,0.8594039278324319,0.5003655267512139,0.844999321405044
3,0.835326895850728,0.5440493013807848,0.8488894401860897
4,0.8584108739281153,0.5794064224879237,0.8397140804768305
