attr,group,n,dropout_rate,AUC,AUC_lo,AUC_hi,Recall
Giới tính,Nữ,4978,0.05202892728003214,0.9090270908452727,0.8867107202575452,0.9294474025475447,0.4247104247104247
Giới tính,Nam,2056,0.1264591439688716,0.9156223231111872,0.8950278699997302,0.9349706985187947,0.5769230769230769
Dân tộc,Kinh,6479,0.07331378299120235,0.9204898488726814,0.9066352672045891,0.933598880466157,0.5010526315789474
Dân tộc,Dân tộc thiểu số,555,0.07927927927927927,0.8816491727450632,0.8175732273752263,0.9382239028045386,0.5
