scope,model_A,model_B,AUC_A,AUC_B,dAUC,delong_z,delong_p,delong_p_holm
HK1,Logistic Regression,Random Forest,0.8463731688018988,0.8353709041212537,0.011002264680645135,2.3949214648976183,0.0166239255414804,0.0997435532488824
HK1,Logistic Regression,LightGBM (mặc định),0.8463731688018988,0.8436137022987561,0.002759466503142738,0.6826123691384097,0.49485181602750616,1.0
HK1,Logistic Regression,LightGBM (tinh chỉnh),0.8463731688018988,0.8436137022987561,0.002759466503142738,0.6826123691384097,0.49485181602750616,1.0
HK1,Random Forest,LightGBM (mặc định),0.8353709041212537,0.8436137022987561,-0.008242798177502397,-2.0283591094128544,0.04252361023640794,0.2126180511820397
HK1,Random Forest,LightGBM (tinh chỉnh),0.8353709041212537,0.8436137022987561,-0.008242798177502397,-2.0283591094128544,0.04252361023640794,0.2126180511820397
HK1,LightGBM (mặc định),LightGBM (tinh chỉnh),0.8436137022987561,0.8436137022987561,0.0,0.0,1.0,1.0
HK1-2,Logistic Regression,Random Forest,0.9277396019560611,0.9212033295034283,0.006536272452632774,1.8336779408884443,0.06670181496921246,0.26680725987684983
HK1-2,Logistic Regression,LightGBM (mặc định),0.9277396019560611,0.9203092906986545,0.007430311257406563,2.1752802641948956,0.02960912055044629,0.17765472330267773
HK1-2,Logistic Regression,LightGBM (tinh chỉnh),0.9277396019560611,0.9203092906986545,0.007430311257406563,2.1752802641948956,0.02960912055044629,0.17765472330267773
HK1-2,Random Forest,LightGBM (mặc định),0.9212033295034283,0.9203092906986545,0.000894038804773789,0.2658856766190336,0.7903272565680985,1.0
HK1-2,Random Forest,LightGBM (tinh chỉnh),0.9212033295034283,0.9203092906986545,0.000894038804773789,0.2658856766190336,0.7903272565680985,1.0
HK1-2,LightGBM (mặc định),LightGBM (tinh chỉnh),0.9203092906986545,0.9203092906986545,0.0,0.0,1.0,1.0
