Định nghĩa nhãn,n,Tỷ lệ bỏ học,Accuracy,AUC,AP,F1,Precision,Recall
Dropout vs (Graduate + Enrolled),4424,0.3212025316455696,0.8790687160940326,0.9225077057589373,0.8874968849900552,0.7961904761904762,0.8679401993355482,0.7353976073187896
Dropout vs Graduate (loại Enrolled),3630,0.39146005509641874,0.9068870523415978,0.9546309337178308,0.9522191402528266,0.8752767527675277,0.9200930954228084,0.8346235045742435
