target,model,nhóm,Accuracy,AUC,AP,F1,Precision,Recall
Dropout vs Graduate (loại Enrolled),Hồi quy logistic,Mô hình nền,0.9297520661157025,0.9772401376585304,0.9747059220865658,0.9109947643979057,0.903114186851211,0.9190140845070423
Dropout vs Graduate (loại Enrolled),Rừng ngẫu nhiên,Mô hình nền,0.9132231404958677,0.967337964438213,0.9624292171820105,0.8852459016393442,0.9169811320754717,0.8556338028169014
Dropout vs Graduate (loại Enrolled),XGBoost (mặc định),Tăng cường,0.9228650137741047,0.9738464725001593,0.9702646513480159,0.899641577060932,0.916058394160584,0.8838028169014085
Dropout vs Graduate (loại Enrolled),CatBoost (mặc định),Tăng cường,0.9256198347107438,0.9750971894716717,0.9722846293344922,0.9035714285714286,0.9166666666666666,0.8908450704225352
Dropout vs Graduate (loại Enrolled),LightGBM (mặc định),Tăng cường,0.9256198347107438,0.9734401886431713,0.9715266955274174,0.9028776978417267,0.9227941176470589,0.8838028169014085
Dropout vs Graduate (loại Enrolled),XGBoost (tinh chỉnh),Tăng cường,0.9228650137741047,0.9724762602765916,0.9704958317662824,0.9014084507042254,0.9014084507042254,0.9014084507042254
Dropout vs Graduate (loại Enrolled),CatBoost (tinh chỉnh),Tăng cường,0.9242424242424242,0.9742208909565993,0.9714183103135178,0.9016100178890877,0.9163636363636364,0.8873239436619719
Dropout vs Graduate (loại Enrolled),LightGBM (tinh chỉnh),Tăng cường,0.9214876033057852,0.9713848703078198,0.9685343457571183,0.8976660682226212,0.9157509157509157,0.8802816901408451
