threshold,nb_model,nb_all,nb_none
0.01,0.06630277756237381,0.06442876303553016,0.0
0.02,0.06175253723895017,0.054882117760382515,0.0
0.03,0.05808752187460611,0.04513863443832461,0.0
0.04,0.05620320348782106,0.03519216188039048,0.0
0.05,0.05440492046151774,0.02503628990018407,0.0
0.060000000000000005,0.051367521884584905,0.01466433553742006,0.0
0.06999999999999999,0.049935642852993595,0.0040693283926611645,0.0
0.08,0.04854680990468656,-0.006756004994375148,0.0
0.09,0.04764768924564204,-0.017819257796511126,0.0
0.09999999999999999,0.04610937351909771,-0.029128360660916813,0.0
0.11,0.0447473427621217,-0.04069160066834285,0.0
0.12,0.044278439785974615,-0.05251764158502854,0.0
0.13,0.0433624529787992,-0.06461554551129327,0.0
0.14,0.04278554000171922,-0.07699479604049435,0.0
0.15000000000000002,0.04198096639850139,-0.08966532305273549,0.0
0.16,0.041627740092340604,-0.10263752927955376,0.0
0.17,0.04145784160240622,-0.11592231878894597,0.0
0.18000000000000002,0.041016803400902926,-0.12953112755466484,0.0
0.19,0.040673694261031956,-0.14347595628990756,0.0
0.2,0.04044640318453227,-0.15776940574353143,0.0
0.21000000000000002,0.03991462804533496,-0.17242471467699388,0.0
0.22,0.039456704796483014,-0.18745580076259633,0.0
0.23,0.03919921420632254,-0.2028773046686041,0.0
0.24000000000000002,0.03863939062897505,-0.21870463762476994,0.0
0.25,0.03814804283954128,-0.23495403279310018,0.0
0.26,0.038258189949972723,-0.2516426008038178,0.0
0.27,0.03761572947055593,-0.2687883898559249,0.0
0.28,0.037089691340473255,-0.2864104508261461,0.0
0.29000000000000004,0.03672904644243053,-0.3045289078800355,0.0
0.3,0.03647589260327389,-0.3231650351354645,0.0
0.31,0.03627103138791707,-0.34234133999250027,0.0
0.32,0.03633611533894194,-0.3620816538159194,0.0
0.33,0.03628431626343687,-0.38241123073854505,0.0
0.34,0.03626972023332558,-0.40335685544670485,0.0
0.35000000000000003,0.035782244482841584,-0.4249469609151157,0.0
0.36000000000000004,0.035648279783906736,-0.4472117571794144,0.0
0.37,0.0355190886894043,-0.47018337237273833,0.0
0.38,0.034945472222477,-0.49389600741100836,0.0
0.39,0.03432042025384899,-0.518386105893156,0.0
0.4,0.03426215524594825,-0.5436925409913753,0.0
0.41000000000000003,0.03389830508474576,-0.5698568213471613,0.0
0.42000000000000004,0.03339935093584854,-0.59692331826694,0.0
0.43,0.03290783113598611,-0.6249395168330265,0.0
0.44,0.032566310573134576,-0.6539562939193306,0.0
0.45,0.03206503476620053,-0.6840282265360457,0.0
0.46,0.03188744616097474,-0.7152139344348614,0.0
0.47000000000000003,0.031451011528908106,-0.7475764614996702,0.0
0.48000000000000004,0.03059863082609742,-0.7811837011438946,0.0
0.49,0.03014489844843254,-0.816108871754559,0.0
0.5,0.029712823429058857,-0.8524310491896503,0.0
0.51,0.029582262248089453,-0.890235764479235,0.0
0.52,0.029179698606767134,-0.9296156762392191,0.0
0.53,0.029395217151948892,-0.9706713289251601,0.0
0.54,0.02912561347986797,-1.0135120099887505,0.0
0.55,0.028591286765867377,-1.058256721321834,0.0
0.56,0.02820068756946778,-1.1050352831700574,0.0
0.5700000000000001,0.027808451970826084,-1.153989592080989,0.0
0.5800000000000001,0.027302760740349596,-1.2052750585591079,0.0
0.59,0.027084474711679164,-1.2590622551093293,0.0
0.6,0.026869491043502988,-1.3155388114870628,0.0
