scope,threshold,n_flag,precision,recall,f1
HK1,0.1,3069,0.22939068100358423,0.8341232227488151,0.3598262202913366
HK1,0.15,2521,0.26219754065846884,0.783175355450237,0.3928677563150074
HK1,0.2,2161,0.28968070337806573,0.7417061611374408,0.4166389351081531
HK1,0.3,1641,0.340036563071298,0.6611374407582938,0.44909456740442655
HK1,0.4,1225,0.40244897959183673,0.5841232227488151,0.4765587240212663
HK1,0.5,925,0.46702702702702703,0.5118483412322274,0.48841153193894854
HK1-2 (isotonic),0.1,901,0.4239733629300777,0.7360308285163777,0.5380281690140845
HK1-2 (isotonic),0.15,662,0.5287009063444109,0.674373795761079,0.5927180355630821
HK1-2 (isotonic),0.2,537,0.6238361266294227,0.6454720616570327,0.634469696969697
HK1-2 (isotonic),0.3,428,0.719626168224299,0.5934489402697495,0.6504751847940866
HK1-2 (isotonic),0.4,361,0.8005540166204986,0.5568400770712909,0.6568181818181819
HK1-2 (isotonic),0.5,311,0.8360128617363344,0.5009633911368016,0.6265060240963856
