scope,model_A,model_B,AUC_A,AUC_B,dAUC,delong_z,delong_p,delong_p_holm
HK1,Logistic Regression,Random Forest,0.8463700809312726,0.8353583709993003,0.011011709931972313,2.397157794951437,0.016522806534146506,0.09913683920487903
HK1,Logistic Regression,LightGBM (mặc định),0.8463700809312726,0.8436137022987561,0.002756378632516543,0.681865106174077,0.49532425138958547,1.0
HK1,Logistic Regression,LightGBM (tinh chỉnh),0.8463700809312726,0.8436137022987561,0.002756378632516543,0.681865106174077,0.49532425138958547,1.0
HK1,Random Forest,LightGBM (mặc định),0.8353583709993003,0.8436137022987561,-0.00825533129945577,-2.0311541892678076,0.04223935584233174,0.2111967792116587
HK1,Random Forest,LightGBM (tinh chỉnh),0.8353583709993003,0.8436137022987561,-0.00825533129945577,-2.0311541892678076,0.04223935584233174,0.2111967792116587
HK1,LightGBM (mặc định),LightGBM (tinh chỉnh),0.8436137022987561,0.8436137022987561,0.0,0.0,1.0,1.0
HK1-2,Logistic Regression,Random Forest,0.927756163706993,0.9211891337169152,0.006567029990077744,1.8421627773429998,0.06545134334310587,0.2618053733724235
HK1-2,Logistic Regression,LightGBM (mặc định),0.927756163706993,0.9203092906986545,0.0074468730083384616,2.1798195953764146,0.029270836822605117,0.1756250209356307
HK1-2,Logistic Regression,LightGBM (tinh chỉnh),0.927756163706993,0.9203092906986545,0.0074468730083384616,2.1798195953764146,0.029270836822605117,0.1756250209356307
HK1-2,Random Forest,LightGBM (mặc định),0.9211891337169152,0.9203092906986545,0.0008798430182607175,0.2612056254131491,0.7939339402207115,1.0
HK1-2,Random Forest,LightGBM (tinh chỉnh),0.9211891337169152,0.9203092906986545,0.0008798430182607175,0.2612056254131491,0.7939339402207115,1.0
HK1-2,LightGBM (mặc định),LightGBM (tinh chỉnh),0.9203092906986545,0.9203092906986545,0.0,0.0,1.0,1.0
