StudentID,Gender,Nation,Religion,Region,EnrollmentYear,EntranceScore_1,EntranceScore_2,EntranceScore_3,SumScore,Aspiration,IndustryCode,GPA4_1,Rating_1,CreditsRegistered_1,CreditsEarnned_1,GPA4_2,Rating_2,CreditsRegistered_2,CreditsEarnned_2,GPA4_3,Rating_3,CreditsRegistered_3,CreditsEarnned_3,GPA4_4,Rating_4,CreditsRegistered_4,CreditsEarnned_4,TermStatus_1,TermStatus_2,TermStatus_3,TermStatus_4,Drop
6056357451,N?,Kinh,Khìng,1,2020,7.13,7.73,7.9,23.75,NV2,7512,1.48,Y?u,20,14,2.1,Trung bçnh,21,21,2.5,Kh†,18,18,2,Trung bçnh,22,22,0,0,0,0,0
6071459401,N?,Kinh,Thiàn ch£a gi†o,1,2021,7.25,7.75,8.75,24.5,NV2,901,2.55,Kh†,19,19,2.66,Kh†,19,19,2.74,Kh†,19,17,3.26,Gi?i,21,21,0,0,0,0,0
7010452401,N?,Kinh,Khìng,2,2021,8.72,8.76,7.68,25.41,NV1,201,2.58,Kh†,18,18,2.22,Trung bçnh,18,18,2.74,Kh†,19,19,2.92,Kh†,19,19,0,0,0,0,0
7014356409,N?,Kinh,Khìng,2,2020,6.1,6.6,7.8,20.5,NV1,6092,1.33,Y?u,18,12,0.5,Y?u,18,4,2.44,Trung bçnh,17,15,0.26,Y?u,19,2,0,1,0,1,1
7016452407,N?,Kinh,Khìng,2NT,2021,8.2,7.7,7.8,24.2,NV1,207,2.56,Kh†,17,17,1.28,Y?u,18,11,1.76,Y?u,17,14,0.94,Y?u,24,10,0,0,0,1,0
7021354405,N?,Kinh,Khìng,2NT,2020,6.8,6.86,6.62,20.78,NV1,4054,1.63,Y?u,16,14,2.17,Trung bçnh,18,18,2.67,Kh†,15,15,2.55,Kh†,20,17,0,0,0,0,0
7034357401,N?,Kinh,Khìng,2,2020,7,7.4,6.8,21,NV1,701,0.97,Y?u,18,11,1.55,Y?u,22,16,2.45,Trung bçnh,22,22,1.8,Y?u,22,20,0,0,0,0,0
7046457401,N?,Kinh,Khìng,2,2021,8.2,6,9.2,24.7,NV2,701,2.86,Kh†,18,18,3.34,Gi?i,22,22,3.18,Kh†,17,17,3.25,Gi?i,22,22,0,0,0,0,0
7060451405,N?,Kinh,Khìng,2NT,2021,8.85,7.9,9.35,26.35,NV1,1055,3.44,Gi?i,16,16,2.82,Kh†,22,19,3.1,Kh†,15,15,2.38,Trung bçnh,24,21,0,0,0,0,0
7100454401,N?,Kinh,Khìng,2,2021,6.78,7.04,5.72,19.79,NV1,4015,2.8,Kh†,15,15,1.35,Y?u,17,10,1.75,Y?u,16,13,2.2,Trung bçnh,27,24,0,0,0,0,0
8005351402,N?,Kinh,Khìng,1,2020,8,6.75,6.2,21.7,NV1,102,2.2,Trung bçnh,15,15,2.42,Trung bçnh,19,17,2.91,Kh†,16,16,2.17,Trung bçnh,23,21,0,0,0,0,0
8010456401,N?,Kinh,Khìng,2,2021,9.1,8.4,8.6,26.35,NV1,601,3.5,Gi?i,18,18,3.12,Kh†,17,17,3.33,Gi?i,20,20,3.5,Gi?i,18,18,0,0,0,0,0
8012452403,N?,Kinh,Tìn gi†o kh†c,2,2021,7.43,7.1,7.2,21.73,NV1,2031,2.25,Trung bçnh,18,15,2.56,Kh†,18,18,3.24,Gi?i,21,21,3,Kh†,18,18,0,0,0,0,0
8020457401,N?,Kinh,Khìng,2NT,2021,7.9,8.1,8.6,25.4,NV1,701,2.17,Trung bçnh,18,15,2.28,Trung bçnh,23,19,2.81,Kh†,16,16,3,Kh†,18,18,0,0,0,0,0
8021354405,N?,Kinh,Khìng,2,2020,7,6.62,7.16,21.03,NV2,4054,1.66,Y?u,16,11,2.08,Trung bçnh,18,18,3.13,Kh†,15,15,2.95,Kh†,20,17,0,0,0,0,0
8046457401,N?,Kinh,Khìng,2,2021,7.8,8,9,25.6,NV1,701,3.33,Gi?i,18,18,3.61,Xu?t s?c,19,19,3.31,Gi?i,18,18,3.43,Gi?i,23,23,0,0,0,0,0
8106354401,N?,Kinh,Khìng,2NT,2020,7.1,7.2,6.1,22.4,NV1,4015,0.94,Y?u,16,8,0.72,Y?u,16,7,0,0,0,0,1.3,Y?u,10,7,0,1,1,0,1
9016354403,N?,Kinh,Khìng,2,2020,7.6,8.04,7.74,23.63,NV1,4031,2.74,Kh†,17,17,2.81,Kh†,16,16,3.41,Gi?i,16,16,3.04,Kh†,23,23,0,0,0,0,0
9018359401,N?,Kinh,Khìng,1,2020,8,8.7,8.8,25.5,NV1,901,2.55,Kh†,19,19,2.61,Kh†,19,19,3,Kh†,19,19,3.09,Kh†,17,17,0,0,0,0,0
9020457401,N?,Kinh,Tìn gi†o kh†c,2NT,2021,7.25,8.05,9.55,26.3,NV2,701,1.92,Y?u,18,16,1.53,Y?u,19,12,2.36,Trung bçnh,18,18,2.43,Trung bçnh,20,20,0,0,0,0,0
9021459403,N?,Jrai,Khìng,1,2021,6.6,7.25,7.25,23.85,NV2,903,2.39,Trung bçnh,19,19,2.5,Kh†,17,13,2.53,Kh†,20,20,2.88,Kh†,24,24,0,0,0,0,0
9063354407,N?,Kinh,Khìng,2,2020,6.97,6.37,6.33,19.92,NV1,407,1.68,Y?u,17,11,2.1,Trung bçnh,15,15,3.09,Kh†,16,16,2.25,Trung bçnh,24,24,0,0,0,0,0
2009456408,N?,Jrai,Khìng,1,2021,5.3,7.2,7.6,22.85,NV1,608,1.33,Y?u,18,13,1.75,Y?u,18,14,1.74,Y?u,21,18,2.39,Trung bçnh,22,20,0,0,0,0,0
3020359403,N?,Jrai,Tin lÖnh,1,2020,5.8,6.25,7.25,22.05,NV1,903,1.68,Y?u,19,13,2.65,Kh†,17,17,2.44,Trung bçnh,17,17,2.74,Kh†,23,23,0,0,0,0,0
9034456410,N?,Jrai,Khìng,1,2021,7,5.5,10,25.25,NV2,610,2.05,Trung bçnh,21,19,1.81,Y?u,16,12,1.38,Y?u,16,10,2.54,Kh†,23,23,0,0,0,0,0
8016357401,N?,Kinh,Khìng,1,2020,7,7.8,5.6,20.25,NV1,701,2.78,Kh†,18,18,2.84,Kh†,19,19,2.97,Kh†,18,18,2.9,Kh†,20,20,0,0,0,0,0
6452405,N?,Kinh,Khìng,2NT,2021,7.6,6.5,7.9,22.5,NV1,2053,2.64,Kh†,18,18,2.44,Trung bçnh,16,16,2.83,Kh†,18,18,2.44,Trung bçnh,16,16,0,0,0,0,0
11356409,N?,Kinh,Khìng,1,2020,6.5,6.3,6.2,19.75,NV1,6092,1.75,Y?u,18,12,1.75,Y?u,18,14,2.85,Kh†,17,17,2.16,Trung bçnh,25,25,0,0,0,0,0
19359401,N?,Kinh,Thiàn ch£a gi†o,1,2020,9,8.1,7.1,24.2,NV1,901,2.39,Trung bçnh,19,19,2.37,Trung bçnh,19,17,2.89,Kh†,19,19,3.08,Kh†,19,19,0,0,0,0,0
21457401,N?,Kinh,Khìng,2,2021,7.76,9.2,9.1,26.62,NV1,701,3.14,Kh†,18,18,3.42,Gi?i,19,19,3.4,Gi?i,20,20,3.5,Gi?i,18,18,0,0,0,0,0
74354407,N?,Kinh,Thiàn ch£a gi†o,2,2020,7.5,7.6,7.3,22.4,NV1,407,1.97,Y?u,17,14,0,Y?u,15,0,0,0,0,0,0,0,0,0,0,1,1,1,1
102454401,N?,Kinh,Khìng,1,2021,7.33,6.9,6.83,21.81,NV1,4015,3.2,Gi?i,15,15,2.03,Trung bçnh,15,12,2.33,Trung bçnh,21,21,2.4,Trung bçnh,21,21,0,0,0,0,0
111354401,N?,Kinh,Khìng,2NT,2020,7.5,8,5.4,21.4,NV1,4011,3.13,Kh†,16,16,2.74,Kh†,25,25,3.07,Kh†,7,7,2.46,Trung bçnh,24,21,0,0,0,0,0
1005354408,N?,Kinh,Khìng,2NT,2020,8.9,8.5,9.3,27.2,NV1,408,3.56,Gi?i,17,17,3.57,Gi?i,23,23,3.5,Gi?i,18,18,3.78,Xu?t s?c,20,20,0,0,0,0,0
1021457401,N?,Kinh,Khìng,1,2021,8.9,8.2,9.3,27.53,NV1,701,3.14,Kh†,18,18,3.42,Gi?i,19,19,3.18,Kh†,20,20,3.08,Kh†,20,20,0,0,0,0,0
1044454404,N?,Kinh,Ph?t gi†o,1,2021,7.72,5.9,6.6,20.97,NV1,4041,2.5,Kh†,16,16,1.75,Y?u,20,16,1.22,Y?u,16,9,1.48,Y?u,22,17,0,0,0,0,0
1047457401,N?,Kinh,Ph?t gi†o,2,2021,7.8,7,8.8,24.55,NV1,701,2.92,Kh†,18,18,3.43,Gi?i,21,21,3.56,Gi?i,16,16,3.35,Gi?i,23,23,0,0,0,0,0
1102454401,N?,Kinh,Khìng,2NT,2021,6.64,7.04,6.92,21.1,NV1,4017,3.33,Gi?i,15,15,2.67,Kh†,15,15,3.03,Kh†,18,18,3.11,Kh†,19,19,0,0,0,0,0
2022359403,N?,Jrai,Khìng,1,2020,6,6.75,8.75,24.25,NV1,903,1.5,Y?u,19,17,2.24,Trung bçnh,17,17,2.59,Kh†,17,17,2.59,Kh†,23,23,0,0,0,0,0
2022459403,N?,Kinh,Khìng,2NT,2021,8.2,5.75,8,22.45,NV1,903,2.29,Trung bçnh,19,19,2.91,Kh†,17,17,2.86,Kh†,18,18,2.73,Kh†,20,20,0,0,0,0,0
2030457452,N?,Kinh,Khìng,1,2021,7.3,8.53,7.5,24.08,NV1,7522,2.19,Trung bçnh,18,18,1.76,Y?u,19,15,2.37,Trung bçnh,19,17,2.06,Trung bçnh,24,22,0,0,0,0,0
2057357451,N?,Kinh,Khìng,2,2020,7.3,8.02,7.7,23.29,NV1,7511,2.4,Trung bçnh,20,20,1.97,Y?u,17,14,2.66,Kh†,19,19,2.75,Kh†,26,26,0,0,0,0,0
2073357451,N?,Kinh,Khìng,2NT,2020,6.6,7.3,7.1,21.07,NV1,7512,1.95,Y?u,20,20,2.24,Trung bçnh,17,17,2.44,Trung bçnh,17,17,2.5,Kh†,21,21,0,0,0,0,0
2230454401,N?,Kinh,Tìn gi†o kh†c,2NT,2021,5.84,6.96,4.78,18.08,NV2,4011,3.2,Gi?i,15,15,1.37,Y?u,15,12,2.28,Trung bçnh,18,18,2.53,Kh†,19,19,0,0,0,0,0
3005459402,N?,Kinh,Khìng,,2021,7.6,7.4,10,27,NV1,902,3.47,Gi?i,17,17,3.18,Kh†,17,17,3.61,Xu?t s?c,19,19,3.69,Xu?t s?c,18,18,0,0,0,0,0
3030457452,N?,Kinh,Khìng,2NT,2021,6.84,7.36,6.32,23.02,NV1,7522,2.94,Kh†,18,18,2.47,Trung bçnh,19,19,2.58,Kh†,19,19,1.93,Y?u,20,18,0,0,0,0,0
3038454406,N?,Kinh,Khìng,1,2021,6.5,8,7.2,22.45,NV1,406,3.57,Gi?i,15,15,2.31,Trung bçnh,16,16,2.2,Trung bçnh,15,12,2.86,Kh†,25,25,0,0,0,0,0
4012356409,N?,Kinh,Khìng,2NT,2020,6.64,7.78,7.5,22.42,NV1,6092,2.25,Trung bçnh,18,15,0.17,Y?u,18,2,0,0,0,0,0,0,0,0,0,1,1,1,1
4020359403,N?,Kinh,Khìng,1,2020,6.6,8,8.75,23.6,NV1,903,2.21,Trung bçnh,19,19,2.76,Kh†,17,17,0.29,Y?u,17,2,3.21,Gi?i,19,19,0,0,1,0,0
